icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity
4ba9ef,THY6130,Turkey,1789370432,31.6693,29.2375,10668,False,253.05
4ba9ce,THY575,Turkey,1789370434,17.328,38.2018,12496.8,False,262.33
4ba9cb,THY571,Turkey,1789370435,-16.4116,15.567,8839.2,False,230.9
4ba9cc,THY2EU,Turkey,1789369015,23.777,46.7172,11887.2,False,254.75
4ba9e1,THY1UC,Turkey,1789370434,3.6813,39.7508,12496.8,False,232.14
4ba9da,THY8GY,Turkey,1789370434,1.4542,39.6099,11887.2,False,248.16
4b8de5,CAI7E,Turkey,1789370211,27.9672,42.4597,11582.4,False,222.17
4b8de8,CAI5EK,Turkey,1789370434,22.7287,47.5706,9166.86,False,210.09
508341,UKL5014,Ukraine,1789370434,-84.1284,40.5013,4526.28,False,129.09
4ba9c9,THY52,Turkey,1789370434,102.5954,12.7439,9448.8,False,234.39
4ba9c5,THY4VH,Turkey,1789370329,13.5027,52.3569,,True,7.46
4ba9c8,THY7KF,Turkey,1789370434,16.6918,47.8502,1371.6,False,94.48
4ba9c2,THY1QG,Turkey,1789370435,9.6525,51.4336,12192,False,206.14
4ba9c4,THY4AX,Turkey,1789370434,17.0423,44.3743,12504.42,False,244.16
4ba9c3,THY1BX,Turkey,1789367150,22.6922,51.6536,11887.2,False,548.73
4ba9d4,THY38D,Turkey,1789370434,30.3795,39.0661,12009.12,False,232.83
4ba9d0,THY727,Turkey,1789370434,48.0867,41.0851,12192,False,230.57
4ba9a9,THY76W,Turkey,1789370374,28.7567,41.2591,68.58,False,71.52
4b8e45,PGT15UE,Turkey,1789370434,12.0288,48.4694,10668,False,254.25
4ba8c8,TKJ7FK,Turkey,1789365145,29.1421,42.316,10972.8,False,2048.36
4ba8c3,TKJ8AT,Turkey,1789370434,24.9807,41.0275,10972.8,False,207.35
4b8da4,TCCMD,Turkey,1789370433,30.2939,38.0601,6484.62,False,181.5
4ba955,THY54,Turkey,1789370434,93.3063,19.4893,10058.4,False,247.98
4ba952,THY2,Turkey,1789370434,16.6442,49.4873,10668,False,254.64
4ba94a,THY99D,Turkey,1789370432,-66.9128,46.5419,10058.4,False,293.14
4ba946,THY12,Turkey,1789370188,-62.6267,46.9404,10058.4,False,285.79
4ba976,TKJ3NX,Turkey,1789370192,29.1931,40.8443,563.88,False,84.67
4b8e04,PGT809M,Turkey,1789370434,30.8363,37.1809,3246.12,False,163.45
4b8e03,PGT56HA,Turkey,1789370434,22.3522,50.9179,11582.4,False,218.1
4b8e0b,PGT771,Turkey,1789370434,34.1861,38.6445,10363.2,False,222.73
508003,ADB3084,Ukraine,1789370434,11.3569,60.5078,2682.24,False,146.28
